rule_id,domain,severity,n_occurrences,scientific_impact,disposition,disposition_class,sdrg_section,owner,finding_id,evidence,target_date,notes
CORE-000767,AE,Major,5428,RELREC/FAOBJ cross-domain check fires without FA domain in analysis-scoped package; not a data corruption issue,waive,cross_domain_na,SDRG §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Path A package does not include FA; do not fabricate FA to greenwash
CORE-000767,DS,Major,2842,Same RELREC/FAOBJ without FA,waive,cross_domain_na,SDRG §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Path A package does not include FA
CORE-000929,AE,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect; re-evaluate on CORE upgrades
CORE-000929,DM,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-000929,DS,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-000929,EX,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-000929,VS,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-001081,AE,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-001081,DM,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-001081,DS,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-001081,EX,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-001081,VS,Minor,1,CORE engine evaluation dataset failed to build (tool-internal),accept,engine_internal,SDRG §5.1,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Not a programming defect
CORE-000334,AE,Major,1,Required/expected variables removed by PDS de-identification (e.g. SITEID/COUNTRY/MedDRA hierarchy/exact AE dates class),accept,inherent_deid,SDRG §5 / §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Cannot reconstruct PII or lost codes; disclose only
CORE-000334,DM,Major,1,De-identification variable removals on DM,accept,inherent_deid,SDRG §5 / §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Cannot reconstruct from public release
CORE-000334,DS,Major,1,De-identification variable removals on DS,accept,inherent_deid,SDRG §5 / §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Cannot reconstruct from public release
CORE-000334,VS,Major,1,De-identification variable removals on VS,accept,inherent_deid,SDRG §5 / §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Cannot reconstruct from public release
CORE-000355,DM,Major,1,De-identification related required content on DM,accept,inherent_deid,SDRG §5 / §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Cannot reconstruct from public release
CORE-000022,AE,Major,1,Real source AESER-related consistency finding; overwriting would falsify safety source,accept,real_source_data,SDRG §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Do not greenwash source safety data
CORE-000266,AE,Major,1136,Real source AESER consistency residual at scale,accept,real_source_data,SDRG §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Do not overwrite true source to force PASS
CORE-000732,VS,Major,3588,Real source VSSTRESC/N residual; present in PDS safety/VS data,accept,real_source_data,SDRG §5.1,WS-1,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-07-09,Do not overwrite true source to force PASS
SOURCE-WEEK-OFFSET,AE,Major,n/a,AE timing carried as week offsets (±3.5 day calendar precision); not day-true ISO,accept,source_precision,SDRG §2 / §4.5 / §5.1,WS-1,F-017,06_qc_evidence/audit/run_records/DATE_PRECISION_SENSITIVITY_2026-06-20.md,2026-07-09,Never invent day precision; inherited by ADAE/ADTTE TTSAE
SOURCE-PARTIAL-ISO,CM,Major,n/a,Partial/imprecise ISO dates in source CMSTDTC (and related domains LB/LS/PN),accept,source_precision,SDRG §4.5,WS-1,F-017,04_analysis_datasets/programs/r/v_sdtm_validation.R,2026-07-09,Carry as-is; WARN not ERROR
SOURCE-PARTIAL-ISO,LB,Major,n/a,Partial/imprecise ISO dates in source LBDTC,accept,source_precision,SDRG §4.5,WS-1,F-017,04_analysis_datasets/programs/r/v_sdtm_validation.R,2026-07-09,Carry as-is
SOURCE-PARTIAL-ISO,LS,Major,n/a,Partial/imprecise ISO dates in source LSDTC,accept,source_precision,SDRG §4.5,WS-1,F-017,04_analysis_datasets/programs/r/v_sdtm_validation.R,2026-07-09,Carry as-is
SOURCE-PARTIAL-ISO,PN,Major,n/a,Partial/imprecise ISO dates in source PNDTC,accept,source_precision,SDRG §4.5,WS-1,F-017,04_analysis_datasets/programs/r/v_sdtm_validation.R,2026-07-09,Carry as-is
CORE-000264,AE,Info,0,Target structural rule AESOC cleared by SDTMIG 3.4 uplift,fix,structural_target_cleared,SDRG §5,WS-3,F-015,platform/conformance/CORE_SDTM34_RUN_RECORD.md,2026-06-20,Uplift success — residual count 0
