gate,check,status,evidence,required_action
G01 source_intake_lock,Source profile generated and clean,PASS,06_telemetry/source_profile_status.json status=pass; domains=34; DM subjects=371,
G03 metadata_lock,Metadata control report has no blocking warnings,PASS,06_telemetry/metadata_control/metadata_control_status.json status=pass; findings=0,
G06 qc_signoff,Risk-based validation strategy is satisfied by current evidence,PASS,06_telemetry/validation_strategy/validation_strategy_status.json status=PASS; blocked=0,
G06 qc_signoff,"Execution logs have no unapproved warnings, errors, invalid-input notes, or uninitialized-variable findings",PASS,06_telemetry/log_cleanliness/log_cleanliness_status.json status=PASS; unapproved=0; reviewed_exceptions=39,
G04 analysis_dataset_promotion,Current live run uses real independent SAS engine,PASS,06_telemetry/pipeline_health.json sas_execution_mode=oda; pipeline=GREEN,
G04 analysis_dataset_promotion,Dataset reconciliation is non-simulated,PASS,06_telemetry/reconciliation_status.json overall=PASS; simulated=False,
G04 analysis_dataset_promotion,Committed ODA evidence snapshot exists,PASS,06_telemetry/evidence/*.oda-green.json,"Snapshot is evidence of a prior genuine ODA run, not the current live run."
G04 analysis_dataset_promotion,Third-engine admiral reconciliation passes for critical core on current run,PASS,06_telemetry/admiral_reconciliation_status.json overall=PASS; dag_stage=PASS; current_with_run=True,
G05 output_promotion,TFL output index is complete for controlled catalog scope,PASS,06_telemetry/tfl_output_index_status.json status=pass; controlled_catalog=pass; in_scope=18; deferred=21; stale_sas_companions_nongating=6,
G06 qc_signoff,Results reconciliation available and passing,PASS,06_telemetry/results_reconciliation_status.json overall=PASS,
G06 qc_signoff,Forest HR reconciliation passes,PASS,06_telemetry/forest_reconciliation_status.json overall=PASS,
G06 qc_signoff,Synthetic comparator bridge parity passes,PASS,06_telemetry/cbzp_bridge_status.json overall=PASS,Still disclose CbzP as synthetic/reconstructed demonstration content.
G09 release_candidate_lock,"Current release-run manifest is release-candidate grade (full DAG, clean tree)",BLOCKER,06_telemetry/release_run_manifest/release_run_manifest.json status=REMEDIATION; evidence_grade=remediation_partial_or_dirty; run_scope=full_dag; seal=8f644a2c4fdcfe8fe4af5ec68e0d5ee5cbc7ed873fae46015d49a747ff2206b8,"Release manifest must be status=PASS (not REMEDIATION/FAIL): full current DAG, clean worktree, and current-run binding. REMEDIATION is valid development evidence only."
G09 release_candidate_lock,Pipeline health records a full current DAG run,PASS,06_telemetry/pipeline_health.json run_scope=full_dag; stages_recorded=30; stages_expected=30; stages_not_run=0,
G06 qc_signoff,Audit findings register has no active confirmed Critical/Major blockers,PASS,audit/findings_register.csv active=0; confirmed Critical/Major=0; severity_counts={},"Close, resolve, or formally disposition confirmed Critical/Major findings before any release-ready claim."
G08 submission_package_materialization,eCTD backbone/run record present,PASS,11_ectd/0000/index.xml present=True; 11_ectd/RUN_RECORD.md present=True,Rebuild/materialize eCTD sequence after upstream release candidate is clean.
