ID,severity,category,status,evidence,standard_or_rule,remediation,effort,disposition_class,disposition_date,disposition_note
F-001,Critical,eCTD integrity,RESOLVED,"platform/validate_ectd_sequence.py validates the complete materialized v3.2.2 sequence surface: DTD checks executed; 100 sequence files; 92 present/checksummed leaves; 0 missing leaves; 0 unexpected files; index/STF/regional support references and run-record counts agree.",ICH eCTD 3.2.2 leaf/backbone integrity; FDA eCTD validation; FDA sdTCG 8.1.2,"Resolved by rebuilding m5 from current package inputs, regenerating the eCTD backbone, materializing from index.xml, and verifying indexed payload parity.",Closed 2026-07-09,,,
F-002,Critical,SDTM metadata/data drift,RESOLVED,platform/uplift_sdtm_34.R now emits all 18 SDTMIG 3.4 XPTs declared by define_sdtm.xml; package_ectd.py copies only the uplifted 3.4 layer; 06_qc_evidence/audit/metadata_data_drift.csv has 0 problem rows and metadata control status is pass,CORE-000334; CORE-000355; CORE-000701; CORE-000776; CORE-000852; CORE-001082; SDTMIG 3.4; Define-XML 2.1,"Resolved by completing the uplifted SDTM 3.4 layer, rebuilding m5, regenerating/materializing eCTD sequence, and rerunning metadata drift controls.",Closed 2026-07-09,,,
F-003,Critical,Scientific validity / synthetic data,ACCEPTED,07_reviewer_explanation/guides/TRACEABILITY_MATRIX.md:10-14 says ADaM contains only real MP N=371 and synthetic CbzP is TFL-only; 07_reviewer_explanation/guides/SDSP.md:45-53; TFL banners at 05_outputs/tfl/output/tables/T-11-Efficacy_Tables.txt:1-6,ICH E9(R1) A.2-A.6; FDA standardized study data must correspond to the study; ICH E3,Accepted for non-submission demonstration pipeline: keep synthetic/Guyot CbzP TFL-only with on-record disclosures (README/ADRG/TFL banners/tfl_output_catalog). Full confirmatory two-arm analyses require authoritative CbzP IPD outside this repo.,Accepted 2026-07-09; XL if full IPD acquired,non_submission_demo_limit,2026-07-09,Formal scope decision for demo product; see 06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md. CbzP comparative outputs remain non-confirmatory.
F-004,Critical,False clinical listing,RESOLVED,"The invented L-01 discontinuation listing is absent from 05_outputs/tfl/output/listings, m5, and 08_submission_package/ectd/0000/m5; 06_qc_evidence/audit/file_inventory.csv, 06_qc_evidence/audit/dependency_edges.csv, and 06_qc_evidence/audit/orphans_dangling_deadcode.csv have no remaining L-01/L_discon.sas references after refreshed inventory/orphan checks",ICH E3 listing traceability; FDA sdTCG 8.1.2; data integrity,Resolved by removing the false listing from the active output/package surface and clearing stale audit references. No replacement L-01 is claimed; any future discontinuation listing must be generated from validated ADSL/DS/EX logic with approved shell and independent QC.,Closed 2026-07-09,,,
F-005,Critical,Submission placeholders,ACCEPTED,08_submission_package/ectd/0000/m1/us/us-regional.xml:8-13 and 27-35 uses EXAMPLE/000000; platform/package_ectd.py:219-230 generates a one-page placeholder CRF,FDA eCTD validation and Module 5 content expectations; Define-XML CRF origin traceability,Accepted: sequence remains structure demonstration with EXAMPLE/000000 identifiers and non-annotated CRF placeholder. Replace only when FDA application numbers and true aCRF with page-level origins are available.,Accepted 2026-07-09; M with sponsor records,external_dependency;non_submission_demo_limit,2026-07-09,EXAMPLE eCTD identifiers and placeholder CRF are structural demo limits until sponsor records exist (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-006,Major,TLF numerical correctness,RESOLVED,"05_outputs/tfl/lab_shift_table.R selects one baseline and one worst post-baseline record per subject/parameter, asserts unique selections and cell-total arithmetic, and renders shift n separately from safety N; tests/test_lab_shift_table.R passes; regenerated T-21 shows MP cell totals 358/356/358 matching shift denominators and not exceeding safety N=371",ICH E9; SAP §7.5; analysis-result accuracy,"Resolved by extracting controlled lab-shift selection logic, adding denominator/cell-total assertions, regression-testing duplicate baseline handling, regenerating T-21, and rebuilding the TFL index/eCTD package.",Closed 2026-07-09,,,
F-007,Major,Dual-programming validity,RESOLVED,04_analysis_datasets/programs/r/v_adex_validation.R preserves missing PERFDOSE AVALC instead of emitting literal 'NA'; cross_lang_audit.R requires each governed business key to exist and be unique in both tracks before exact keyed diffdf comparison; the live ODA run reports 0 cell differences for all 8 SAS/R pairs and exact F042 endpoint parity.,ADaMIG ADEX value semantics; independent validation practice,"Resolved by correcting R ADEX missing-character derivation, removing lossy reconciliation normalization, introducing unique source-sequence keys, regenerating the datasets, and rerunning exact SAS/R reconciliation in oda mode.",Closed 2026-07-09,,,
F-008,Major,ADaM metadata/data drift,RESOLVED,"platform/gen_adam_labels.R now generates spec-derived SAS variable/order macros and R label/order CSV; 04_analysis_datasets/programs/sas/U_xpt_export.sas and 04_analysis_datasets/programs/r/config_study.R enforce exact spec variable sets and export order; real ODA SAS rerun passed, cross-language reconciliation is non-simulated PASS, and 06_qc_evidence/audit/metadata_data_drift.csv has 0 ADaM problem rows",ADaMIG 1.3; Define-XML 2.1; local AD0102,"Resolved by orchestrating spec-derived label/order generation, enforcing spec variable sets at both SAS and R export boundaries, regenerating production XPTs through ODA, and rerunning metadata drift plus reconciliation controls.",Closed 2026-07-09,,,
F-009,Major,Provenance / audit trail,RESOLVED,"platform/build_release_run_manifest.py creates a hash-sealed run manifest binding git state, environment, inputs/programs/TFLs/logs/package files, QC statuses, and ADaM/BIMO XPT package/sequence parity. Status grades are PASS (release-candidate), REMEDIATION (partial DAG / dirty tree / stale companion artifacts), or FAIL (binding integrity). The latest real-SAS execution is a complete 37/37 GREEN DAG; the current manifest correctly grades the uncommitted audited worktree REMEDIATION rather than presenting it as a release candidate. output_hash_binding.csv shows production/validation byte distinction and package/sequence parity.","21 CFR 11.10(a),(e),(f),(g),(k); reproducibility/change control","Resolved for current-run reproducibility/change-control hash binding by adding the release-run manifest generator, DAG stage, delivery-control gate, evidence-layer entries, output hash binding, and release-candidate G09 check with PASS/REMEDIATION/FAIL grades. This is a hash seal, not a Part 11 e-signature; platform validation, access control, and e-signature controls remain tracked under F-025.",Closed 2026-08-01,,,
F-010,Major,SAP/TFL scope,RESOLVED,"config/tfl_output_catalog.yaml separates the SAP v4 full catalog (31 IDs) from the controlled release scope (21 in-scope IDs). 18 SAP full-catalog IDs are explicitly deferred with reasons; 8 produced IDs not in the historical SAP ID list are approved_extension with SAP v4 section basis. build_tfl_output_index.py gates controlled-scope bijectivity, physical presence, endpoint semantics, ARM mapping, and current real-SAS companions; the latest index is PASS with zero missing or stale companions. Deferred SAP IDs are not silent gaps. L-01-1 remains out of scope (F-004).",ICH E9(R1) A.6; ICH E3; approved SAP control,"Resolved for controlled programming scope by issuing config/tfl_output_catalog.yaml as the release-scope amendment, wiring it into the TFL index gate, and documenting deferred IDs and the Stage-17 SAS companion policy. Implementing the remaining deferred shells remains backlog, not an undisclosed gap.",Closed 2026-08-04,,,
