ID,severity,category,status,evidence,standard_or_rule,remediation,effort
F-001,Critical,eCTD integrity,CONFIRMED,"11_ectd/0000/index.xml (48 leaves) versus 44 unindexed XPTs listed in audit/orphans_dangling_deadcode.csv; 06_telemetry/materialize_ectd.py:31-65 never deletes stale files; 11_ectd/RUN_RECORD.md:43-50 and 68-80 claims a clean materialization","ICH eCTD 3.2.2 leaf/backbone integrity; FDA eCTD validation; FDA sdTCG 8.1.2","Delete the sequence; rebuild full or preview atomically in a new directory; fail on any unindexed payload or missing leaf; verify after final copy.",M (2-4 days)
F-002,Critical,SDTM metadata/data drift,CONFIRMED,"06_telemetry/package_ectd.py:232-260 and 335-341 converts raw 3.1.1 SAS7BDAT, while 07_define_xml/define_sdtm.xml:9-14 declares 3.4; audit/metadata_data_drift.csv shows 17 produced-but-undefined domains and variable drift","CORE-000334; CORE-000355; CORE-000701; CORE-000776; CORE-000852; CORE-001082; SDTMIG 3.4; Define-XML 2.1","Package only the uplifted 3.4 layer; define all delivered domains/variables; rerun full-package CORE/P21 and metadata/data comparison.",L (2-4 weeks)
F-003,Critical,Scientific validity / synthetic data,CONFIRMED,"08_reviewers_guides/TRACEABILITY_MATRIX.md:10-14 says ADaM contains only real MP N=371 and synthetic CbzP is TFL-only; 08_reviewers_guides/SDSP.md:45-53; TFL banners at 09_tfl/output/tables/T-11-Efficacy_Tables.txt:1-6","ICH E9(R1) A.2-A.6; FDA standardized study data must correspond to the study; ICH E3","Do not represent illustrative reconstructed/simulated comparator results as submission analyses. Obtain the complete clinical data and rerun, or clearly segregate this repository as a non-regulatory demonstration.",XL (data acquisition + reanalysis)
F-004,Critical,False clinical listing,CONFIRMED,"09_tfl/output/listings/L-01-1_Discontinuations.txt:9-19 contains invented 2026 subjects/dates and cites absent L_discon.sas; trial data are from 2007-2009","ICH E3 listing traceability; FDA sdTCG 8.1.2; data integrity","Remove the placeholder from m5/eCTD. Generate the listing from ADSL/DS/EX with independent QC and approved shells.",M (3-5 days)
F-005,Critical,Submission placeholders,CONFIRMED,"11_ectd/0000/m1/us/us-regional.xml:8-13 and 27-35 uses EXAMPLE/000000; 06_telemetry/package_ectd.py:219-230 generates a one-page placeholder CRF","FDA eCTD validation and Module 5 content expectations; Define-XML CRF origin traceability","Replace application/submission metadata with assigned values and provide the actual annotated CRF with page-level origin links before any submission build.",M (dependent on sponsor records)
F-006,Major,TLF numerical correctness,CONFIRMED,"09_tfl/tfl_generation.R:1161-1185 does not deduplicate baseline rows before join; 09_tfl/output/tables/T-21-Lab_Shift_Tables.txt:14-30 gives MP cell totals 458/457/457 for n=371","ICH E9; SAP §7.5; analysis-result accuracy","Select exactly one baseline record per subject/parameter using the approved baseline algorithm; add denominator and row/column arithmetic assertions.",M (2-4 days)
F-007,Major,Dual-programming validity,CONFIRMED,"03_validation_r/v_adex_validation.R:108-113 produces literal 'NA' in AVALC for 1,746 PERFDOSE rows; 05_reconciliation/cross_lang_audit.R:96-102 converts literal 'NA' to missing; audit/dual_language_comparison.csv records 1,746 unmatched records on each side","ADaMIG ADEX value semantics; independent validation practice","Emit blank/NA consistently in R and forbid literal 'NA' unless defined as a legitimate character result; remove lossy normalization; rerun exact reconciliation.",M (1-3 days)
F-008,Major,ADaM metadata/data drift,CONFIRMED,"audit/metadata_data_drift.csv: variable order differs for ADSL/ADCM/ADAE/ADLB/ADTTE; current independent adam_conf_check reports AD0102 for ADCM ASTDT/AENDT/ASTDY and ADEX PARAMN/AVISITN; 02_production_sas/_adam_labels.sas:70-87 has obsolete CM names","ADaMIG 1.3; Define-XML 2.1; local AD0102","Orchestrate gen_adam_labels.R before derivation, correct renamed labels, enforce exact order/label/type/length equality against the spec, and rebuild XPT/Define.",M (3-5 days)
F-009,Major,Provenance / audit trail,CONFIRMED,"audit/output_hash_binding.csv shows all eight current 04_adam/*_prod.xpt hashes differ from 06_telemetry/evidence/xpt_md5_manifest.txt:3-10 and sequence copies; 06_telemetry/cibuild.py:830-853 only tests byte-distinctness and admits vacuous success","21 CFR 11.10(a),(e),(f),(g),(k); reproducibility/change control","Generate a signed run manifest binding source commit, environment, programs, inputs, outputs, logs, QC verdicts and hashes in one transaction; reject stale status/evidence.",L (2-3 weeks)
F-010,Major,SAP/TFL scope,CONFIRMED,"TROPIC_SAP_v3.0.docx Table 21 specifies 31 outputs; 09_tfl/output contains 19 IDs: 21 specified IDs absent and 9 produced IDs not specified (catalog in audit report)","ICH E9(R1) A.6; ICH E3; approved SAP control","Implement and QC the missing outputs or issue an approved SAP amendment; document and approve every extra output before release.",L (2-4 weeks)
